id,date,volumeETH,volumeUSD,volumeUSDUntracked,feesUSD,txCount,tvlUSD
19053,1646179200,686031.9316091922068239305831969164,2042032103.017040332708437549897501,0,2454973.531205050737307217228927746,12120593,4788840539.597413338682806869268254
19052,1646092800,685722.9506015229854499858525917202,2020326690.3771021029188921593381,0,2616265.235456243169255853060730412,12086073,4794542243.871454612132293382238745
19051,1646006400,743887.9246896426957711967806904231,2027416633.050200048440160529984425,0,2263048.230595374587057440864839892,12046827,4613951778.489527842019712364683333
19050,1645920000,711296.0388673085117520099919287182,1923751139.746150032529747824865319,0,2203341.259009671380063211302232981,12015252,4335648121.772269634259495409266105
19049,1645833600,438613.4720636011804645413516060059,1224681398.734248202628537726873708,0,1413905.158898083639409224548796621,11981046,4480969361.079814644526202001476859
19048,1645747200,810582.6564014447871510107908006989,2172996091.510084104085670732270889,0,2344714.592352979642522311226899381,11953007,4472049799.585898770015172882264939
19047,1645660800,1417505.395562791865133072098747035,3479721779.847115227698059831997321,0,4095685.989217879972536705710720181,11921005,4291297520.149568334606710651390528
19046,1645574400,552109.4609085710717851634789034892,1474401282.9433711610263916556934,0,1703868.24074478284987696718863371,11866626,4343266100.033065450447798077713028
19045,1645488000,669093.1754407922660373090608121882,1727351685.313895144833113968735849,0,2272624.129164348286645603942716011,11837177,4386260879.340780201741128001090599
19044,1645401600,861067.907689829877270362801024121,2293320550.597686396084241514308102,0,2798631.358806762425230678156376374,11803520,4319334564.480260854416044817759615
19043,1645315200,608389.8120086042637452144441711923,1614174519.31940080454154036722432,0,2169917.358238129775158117932677741,11771246,4388813934.399280966370092600441886
19042,1645228800,341350.1806774578718933700889080828,943974060.9993977810597450540858471,0,1463350.703632806598743999880620467,11733842,4594733387.047913809656146777990205
19041,1645142400,544023.7604897650917889897141807779,1548654367.736953379259606458332551,0,2131885.620437428739074549501600232,11703116,4713822187.808512727528245974311693
19040,1645056000,636616.064324068947576334596926624,1914462467.831003169830937717853979,0,2569653.274839937970255815864754054,11671045,4808426937.179502600409047705572415
19039,1644969600,486279.4715559562614697213236410077,1520020994.118313478863706811501351,0,2001918.719968342010669544163489078,11635412,4824811795.63110833543540551007808
19038,1644883200,507452.3260877615444096479067268625,1562626826.498485501029075631731757,0,2012852.247383713326574612918572016,11606075,4787412868.717989318366083837881219
19037,1644796800,428205.3973012915140154076008909903,1240667058.32593549255334223559743,0,1562619.821072188056784717883035892,11573331,4514004814.613878060466003567454772
19036,1644710400,319660.2188558280021705351781873234,927782385.3016723531603430713164444,0,1322657.288603711130021149000411089,11543098,4422841791.864502521975099555802171
19035,1644624000,472603.0653680444301986936837869495,1379593993.981616846326229272594048,0,1798172.863515469318892721613332109,11515071,4348768447.87149517617599806980895
19034,1644537600,723243.9405513942951179483135800806,2191045635.526221578510184104412476,0,2824891.315801801265074438994319743,11484904,4307510133.601362674522233196462735
19033,1644451200,673724.9708732389060613649401966865,2144225684.226777808572018407735092,0,2935972.11766680304438653710012349,11448795,4420247233.610511438250508241635358
19032,1644364800,449248.8995661606600260195833401087,1421373324.639730152402197311133191,0,2204138.886626364524547120456995226,11412806,4568733996.300579759718488895785509
19031,1644278400,500877.1458662823323031981299953952,1558741461.386748031881307035399298,0,2349547.126493939158694297423942361,11379019,4456414029.552844002449222934783555
19030,1644192000,506117.7379566548529796654201828909,1569933853.384897510382188877294194,0,2393460.467915003603914502878485075,11345602,4471107080.5172301788487588241365
19029,1644105600,373704.3355655357718973411640577114,1123909158.588543117429499789694577,0,1650491.128420024893347842991846028,11311242,4403965231.96191439783447796536612
19028,1644019200,489258.4839472789733349300704588875,1472550666.918352612034701544316347,0,1919730.32946795033597817445088715,11278949,4307950659.097321657632341653280166
